,Insitution
0,Alabama A & M University
1,University of Alabama at Birmingham
2,Amridge University
3,University of Alabama in Huntsville
4,Alabama State University
5,University of Alabama System Office
6,The University of Alabama
7,Central Alabama Community College
8,Athens State University
9,Auburn University at Montgomery
10,Auburn University
11,Birmingham-Southern College
12,Chattahoochee Valley Community College
13,South University-Montgomery
14,Enterprise State Community College
15,Coastal Alabama Community College
16,Faulkner University
17,Gadsden State Community College
18,New Beginning College of Cosmetology
19,George C Wallace Community College-Dothan
20,George C Wallace State Community College-Hanceville
21,George C Wallace State Community College-Selma
22,Herzing University-Birmingham
23,Huntingdon College
24,Heritage Christian University
25,J. F. Drake State Community and Technical College
26,J F Ingram State Technical College
27,Jacksonville State University
28,Jefferson State Community College
29,John C Calhoun State Community College
30,Judson College
31,Lawson State Community College
32,University of West Alabama
33,Lurleen B Wallace Community College
34,Marion Military Institute
35,Miles College
36,University of Mobile
37,University of Montevallo
38,Northwest-Shoals Community College
39,University of North Alabama
40,Northeast Alabama Community College
41,Oakwood University
42,Reid State Technical College
43,Bishop State Community College
44,Samford University
45,Selma University
46,Shelton State Community College
47,Snead State Community College
48,University of South Alabama
49,Spring Hill College
50,Stillman College
51,Talladega College
52,H Councill Trenholm State Community College
53,Troy University
54,Tuskegee University
55,United States Sports Academy
56,Bevill State Community College
57,University of Alaska Anchorage
58,Alaska Bible College
59,University of Alaska Fairbanks
60,University of Alaska Southeast
61,Alaska Pacific University
62,Alaska Vocational Technical Center
63,Charter College
64,Alaska Career College
65,University of Alaska System of Higher Education
66,Empire Beauty School-Tucson
67,Carrington College-Phoenix North
68,Carrington College-Mesa
69,Carrington College-Tucson
70,CollegeAmerica-Flagstaff
71,Arizona Academy of Beauty-East
72,Platt College-Arizona Automotive Institute Arizona
73,Brookline College-Phoenix
74,Arizona State University Campus Immersion
75,Arizona Western College
76,University of Arizona
77,Southwest University of Visual Arts-Tucson
78,Central Arizona College
79,Charles of Italy Beauty College
80,Cochise County Community College District
81,Empire Beauty School-Flagstaff
82,Empire Beauty School-Chandler
83,Avalon School of Cosmetology-Mesa
84,Eastern Arizona College
85,Embry-Riddle Aeronautical University-Prescott
86,The School of Architecture
87,Glendale Community College
88,Grand Canyon University
89,Maricopa Community College System Office
90,GateWay Community College
91,Mesa Community College
92,Mohave Community College
93,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division
94,Dine College
95,Northern Arizona University
96,Northland Pioneer College
97,Ottawa University-Phoenix
98,Phoenix College
99,Pima Community College
100,Pima Medical Institute-Tucson
101,Pima Medical Institute-Albuquerque
102,Prescott College
103,Refrigeration School Inc
104,Rio Salado College
105,Roberto-Venn School of Luthiery
106,Scottsdale Community College
107,South Mountain Community College
108,Arizona Christian University
109,Universal Technical Institute of Arizona Inc
110,Empire Beauty School-NW Phoenix
111,Yavapai College
112,University of Arkansas at Little Rock
113,University of Arkansas for Medical Sciences
114,Arkansas Baptist College
115,Arkansas Beauty School-Little Rock
