ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018),Average Wage (2019),Average Wage Appx MOE (2014),Average Wage Appx MOE (2015),Average Wage Appx MOE (2016),Average Wage Appx MOE (2017),Average Wage Appx MOE (2018),Average Wage Appx MOE (2019)
"111021","General & operations managers",75222.33885180099,76644.4101699089,78945.52593636226,81231.49462004923,81993.68268397363,81531.30163756265,1929.4340431094229,1860.8049450091614,1921.5244308101805,1907.419711987659,1910.840179908464,1683.8922008483378
"1110XX","Chief executives & legislators",131371.49956940403,138108.7773837611,141122.91524450865,147268.8892955622,147563.5896480264,160415.92626927115,2812.2266386809456,2950.893328540857,2983.6982283501766,3089.065658858852,3125.591446202631,3073.483539600989
"112011","Advertising & promotions managers",63575.04016421264,64860.12368864385,69602.41464711692,74523.58717892904,70385.75030419794,84927.00276460685,6649.373177665111,7807.584123882749,7510.433381819806,8294.003201844649,8237.373124505102,8978.300065027532
"112021","Marketing managers",,,,,84553.35115257063,84351.67338781041,,,,,2826.244838599187,2764.44136711912
"112022","Sales managers",,,,,106611.87331214701,110161.05310116075,,,,,3547.7591275843074,3296.499671839146
"112030","Public relations and fundraising managers",,,,,74606.32962434617,78778.34836612131,,,,,6038.793306139064,4898.2200099012225
"113012","Administrative services managers",,,,,65180.529337833956,63839.09267500177,,,,,6110.393145893838,5238.127517005318
"113013","Facilities managers",,,,,63234.3637466893,64603.11697193848,,,,,3557.601268619287,3156.1267822425766
"113021","Computer & information systems managers",97860.05190342157,100098.884215512,103560.75360740027,103888.57796141504,106683.09528805509,110236.63269592565,2362.8825144019193,2268.494486043218,2359.1778964655114,2401.3143165300426,2603.8980129331626,2400.756588098312
"113031","Financial managers",85429.50275084261,89224.88319043563,91516.47724722623,94470.78940475495,99323.10892765404,96496.22060649743,2052.874434913467,2192.92524004016,2182.078446240666,2274.6979730038634,2430.3461244359487,2158.0014149883295
"113051","Industrial production managers",76436.81229066603,73600.26086013812,75363.9247310255,79592.80734280006,81245.32512023122,82464.61491597368,2986.7355263478066,2771.176547646061,2862.746011288541,3080.53663128955,3121.261093787329,3002.832266880958
"113061","Purchasing managers",72253.61217453828,70466.65467678991,73337.37450035782,75965.94387763807,77759.47801409541,78665.04595642627,3187.6040688863195,2974.192946604666,2968.8271648002897,3167.028077459821,3522.155409423051,3164.4878524161663
